position,question,answers
115,More important for you:,"['insist', 'keep relationship']"
116,In life and work you:,"['know how to plan and live according to plans', 'rarely plan, act on the situation']"
117,You enjoy working:,"['with written assignments', 'with personal speeches']"
118,What word in the pair “whole - details” do you like more in meaning?,"['whole', 'details']"
119,What word in the pair “honesty - tact” do you like more in meaning?,"['honesty', 'tact']"
120,"Expecting the result, you will rather say:","['it should be', 'it could be']"
121,"If you were asked an unexpected question, you:","['answer without thinking', 'uncomfortable, think before answering']"
122,You are used to taking more care of events:,"['today', 'which do not concern the current moment']"
123,Do you tend to predict the feelings of others?,"['rather yes', 'probaly not']"
124,What word in the pair “understand - manage” do you like more in meaning?,"['understand', 'manage']"
125,You can say about you that you:,"['prefer concentration-intensive work', 'you can’t always focus for a long time on one task, subject']"
126,You can rather be called a person who:,"['inclined to focus on obvious facts', ""sees options that others don't notice""]"
127,Can you say that you:,"['take emotional problems to heart', 'treat emotional problems as a hindrance in solving problems']"
128,At the end of the day you are more likely to:,"['forget about time, carried away by solving problems', 'strive to complete some part and finish the work on time']"
129,In work you:,"['set your own standards where possible', 'more interested in how others do work']"
130,Do you work more often:,"['at a steady pace', 'in fits, with lulls in front of them']"
131,"Working in a group, you:","['spend some time to build relationships', 'get along easily with others right away']"
132,Can you say that you sometimes pick up more than you can digest or use?,"['rather yes', 'probably not']"
133,You are more pleased to report on the results of work:,"['in reports', 'at meetings']"
134,"When performing work tasks, you:","['prefer to rely on your experience and knowledge', 'each time you rely on a new approach that requires new knowledge']"
135,Will it be true if you say about you that you:,"['do not endure conflicts, it negatively affects efficiency', 'can work in adverse emotional conditions']"
136,You are more likely to:,"['try not to miss anything in life', 'follow the chosen path']"
137,Would you prefer:,"['work on one task for a long time', 'switch from task to task']"
138,Which word in the pair “work - inspire” do you like more in meaning?,"['work', 'inspire']"
139,You can say about you that you are a person who:,"['enthusiastic', 'usually smooth and businesslike']"
140,Preferably you:,"['live in obedience to the current situation', 'build your life according to plan']"
141,"When you learn new things, you:","['ask for more concrete examples', 'quickly grasp the meanings of words and characters']"
142,You are prone to:,"['memorize', 'reason']"
