position,question,answers,question_ru,answers_ru
19,"When making an important decision, you are likely to:","['trust your feelings in choosing the best solution', 'trust your logic']","Принимая важное решение Вы, вероятно, будете:","['доверять своим чувствам в выборе наилучшего решения', 'доверять своей логике']"
20,Thought of making a to-do list for the weekend:,"['you think is right', 'depresses you']","Мысль о том, чтобы составить список дел на выходные:","['Вы считаете правильной', 'угнетает Вас']"
21,Usually you:,"['can talk freely with almost any person at any time', ""don't always find what to say to a stranger""]",Обыкновенно Вы:,"['можете свободно разговаривать практически с любым человеком в течение любого времени', 'не всегда находите, что сказать незнакомому человеку']"
22,"When you read for your pleasure, you like:","['unusual, original manner of presentation', 'when writers express their thoughts clearly']","Когда Вы читаете для своего удовольствия, Вам нравится:","['необычная, оригинальная манера изложения', 'когда писатели четко выражают свои мысли']"
23,You are more concerned about:,"['feelings of people', 'their rights']",Вас больше волнуют:,"['чувства людей', 'их права']"
24,Your work efficiency is higher:,"['when unforeseen situations arise and you have to work with mobilization of forces', 'when you work in the usual schedule']",Эффективность Вашей работы выше:,"['когда появляются непредвиденные ситуации, и Вам приходится работать с мобилизацией сил', 'когда Вы работаете в привычном графике']"
25,People can determine your area of interest:,"['when they first meet you', 'only when they get to know you better']",Люди могут определить область Ваших интересов:,"['при первом знакомстве с Вами', 'лишь тогда, когда узнают Вас поближе']"
26,"When you do the same as many others, you prefer:","['do it in a common way', 'invent your own way']","Когда Вы делаете то же самое, что и многие другие, Вы предпочитаете:","['делать это общепринятым способом', 'изобрести свой способ']"
27,Which word in the “attachment - rationality” pair do you like more in meaning?,"['“attachment', 'rationality”']",Какое слово в паре «привязанность - рассудочность» Вам больше нравится по смыслу?,"['привязанность', 'рассудочность']"
28,"When you need to do some special work, you prefer:","['organize everything carefully before you start it', 'find out everything you need in the process']","Когда нужно сделать какую-то особую работу, Вы предпочитаете:","['тщательно организовать все до того, как Вы к ней приступите', 'выяснять все необходимое в процессе работы']"
29,You usually:,"['freely express your feelings', 'keep your feelings to yourself']",Вы обыкновенно:,"['свободно выражаете свои чувства', 'держите свои чувства при себе']"
30,Which word in the “facts - ideas” pair do you like more in meaning?,"['facts', 'idead']",Какое слово в паре «факты - идеи» Вам больше нравится по смыслу?,"['факты', 'идеи']"
31,What word in the pair of “thoughts - feelings” do you like more in meaning?,"['thoughts', 'feelings']",Какое слово в паре «мысли - чувства» Вам больше нравится по смыслу?,"['мысли', 'чувства']"
32,When you know that at a certain time you will do a certain thing:,"['it’s easier for you to plan your business', 'you have to adapt to this schedule']","Когда Вы знаете, что в определенное время будете заниматься определенным делом:","['Вам легче планировать свои дела', 'Вам приходится подстраиваться под этот график']"
33,What word in the pair “cheerful - calm” do you like more in meaning?,"['cheerful', 'calm']",Какое слово в паре «жизнерадостный - спокойный» Вам больше нравится по смыслу?,"['жизнерадостный', 'спокойный']"
34,What word in the pair “theory - practice” do you like more in meaning?,"['theory', 'practice']",Какое слово в паре «теория - практика» Вам больше нравится по смыслу?,"['теория', 'практика']"
35,Which word in the pair “convincing - touching” do you like more in meaning?,"['convincing', 'touching']",Какое слово в паре «убедительный - трогательный» Вам больше нравится по смыслу?,"['убедительный', 'трогательный']"
36,Which word in the pair “prescribed - unplanned” do you like more in meaning?,"['prescribed', 'unplanned']",Какое слово в паре «предписанный - незапланированный» Вам больше нравится по смыслу?,"['предписанный\xa0', 'незапланированный']"
37,What word in a pair of “restrained - talkative” do you like more in meaning?,"['restrained', 'talkative']",Какое слово в паре «сдержанный - разговорчивый» Вам больше нравится по смыслу?,"['сдержанный', 'разговорчивый']"
38,Which word in the “theory - fact” pair do you like more in meaning?,"['theory', 'fact']",Какое слово в паре «теория - факт» Вам больше нравится по смыслу?,"['теория', 'факт']"
39,Which word in the pair “analyze - sympathize” do you like more in meaning?,"['analyze', 'sympathize']",Какое слово в паре «анализировать - сочувствовать» Вам больше нравится по смыслу?,"['анализировать', 'сочувствовать']"
40,Which word in the pair “systematic - spontaneous” do you like more in meaning?,"['systematic', 'spontaneous']",Какое слово в паре «систематический - спонтанный» Вам больше нравится по смыслу?,"['систематический', 'спонтанный']"
41,What word in the pair “calm - lively” do you like more in meaning?,"['calm', 'lively']",Какое слово в паре «спокойный - оживленный» Вам больше нравится по смыслу?,"['спокойный\xa0', 'оживленный']"
42,Which word in the “literal - figurative” pair do you like more in meaning?,"['literal', 'figurative']",Какое слово в паре «буквальный - фигуральный» Вам больше нравится по смыслу?,"['буквальный\xa0', 'фигуральный']"
43,Which word in the pair “justice - mercy” do you like more in meaning?,"['justice', 'mercy']",Какое слово в паре «справедливость - милосердие» Вам больше нравится по смыслу?,"['справедливость', 'милосердие']"
44,Which word in the “regular - random” pair do you like more in meaning?,"['regular', 'random']",Какое слово в паре «закономерный - случайный» Вам больше нравится по смыслу?,"['закономерный', 'случайный']"
45,What word in the pair “say - write” do you like more in meaning?,"['say', 'write']",Какое слово в паре «говорить - писать» Вам больше нравится по смыслу?,"['говорить', 'писать']"
46,Which word in the “dreamy - practical” pair do you like more in meaning?,"['dreamy', 'practical']",Какое слово в паре «мечтательный - практичный» Вам больше нравится по смыслу?,"['мечтательный', 'практичный']"
47,Which word in the pair “compassion - prudence” do you like more in meaning?,"['compassion', 'prudence']",Какое слово в паре «сострадание - предусмотрительность» Вам больше нравится по смыслу?,"['сострадание', 'предусмотрительность']"
48,Which word in the “impulse - decision” pair do you like more in meaning?,"['impulse', 'decision']",Какое слово в паре «порыв - решение» Вам больше нравится по смыслу?,"['порыв', 'решение']"
49,Which word in the pair “sociable - closed” do you like more in meaning?,"['sociable', 'closed']",Какое слово в паре «общительный - замкнутый» Вам больше нравится по смыслу?,"['общительный', 'замкнутый']"
50,Which word in the pair “produce - create” do you like more in meaning?,"['produce', 'create']",Какое слово в паре «производить - творить» Вам больше нравится по смыслу?,"['производить', 'творить']"
51,What word in the pair “benefit - good do you like more in meaning?,"['benefit', 'good']",Какое слово в паре «польза - благо» Вам больше нравится по смыслу?,"['польза', 'благо']"
52,Which word in the “punctuality - improvisation” pair do you like more in meaning?,"['punctuality', 'improvisation']",Какое слово в паре «пунктуальность - импровизация» Вам больше нравится по смыслу?,"['пунктуальность', 'импровизация']"
53,Which word in the “party - theater” pair do you like more in meaning?,"['party', 'theater']",Какое слово в паре «вечеринка - театр» Вам больше нравится по смыслу?,"['вечеринка', 'театр']"
54,Which word in the pair “prudent - charming” do you like more in meaning?,"['prudent', 'charming']",Какое слово в паре «благоразумный - очаровательный» Вам больше нравится по смыслу?,"['благоразумный', 'очаровательный']"
55,Which word in the pair “decisive - faithful” do you like more in meaning?,"['decisive', 'faithful']",Какое слово в паре «решительный - преданный» Вам больше нравится по смыслу?,"['решительный', 'преданный']"
56,Which word in the “changing - constant” pair do you like more in meaning?,"['changing', 'constant']",Какое слово в паре «изменяющийся - постоянный» Вам больше нравится по смыслу?,"['изменяющийся', 'постоянный']"
57,You consider yourself:,"['more addicted person than others', 'less addicted']",Вы считаете себя:,"['более увлекающимся человеком, чем другие', 'менее увлекающимся']"
58,What word in the pair “execution - creativity” do you like more in meaning?,"['execution', 'creativity']",Какое слово в паре «исполнение - творчество» Вам больше нравится по смыслу?,"['исполнение', 'творчество']"
59,What word in the pair “principle - kind-hearted” do you like more in meaning?,"['principle', 'kind-hearted']",Какое слово в паре «принципиальный - мягкосердечный» Вам больше нравится по смыслу?,"['принципиальный', 'мягкосердечный']"
60,What word in the pair “disciplined - informal” do you like more in meaning?,"['disciplined', 'informal']",Какое слово в паре «дисциплинированный - непринужденный» Вам больше нравится по смыслу?,"['дисциплинированный', 'непринужденный']"
61,At parties you:,"['often get bored', 'usually have a good time']",На вечеринках Вам:,"['часто приходится скучать', 'обычно удается хорошо проводить время']"
62,Which word in the “concrete - abstract” pair do you like more in meaning?,"['concrete', 'abstract']",Какое слово в паре «конкретный - абстрактный» Вам больше нравится по смыслу?,"['конкретный', 'абстрактный']"
63,What word in the pair “peacemaker - judge” do you like more in meaning?,"['peacemaker', 'judge']",Какое слово в паре «миротворец - судья» Вам больше нравится по смыслу?,"['миротворец', 'судья']"
64,What word in the pair “swift - thorough” do you like more in meaning?,"['swift', 'thorough']",Какое слово в паре «стремительный - тщательный» Вам больше нравится по смыслу?,"['стремительный', 'тщательный']"
65,Usually you:,"['make new friends constantly', 'deal with old friends']",Как правило Вы:,"['постоянно заводите новые знакомства', 'общаетесь со старыми друзьями']"
66,Which word in the “build - invent” pair do you like more in meaning?,"['build', 'invent']",Какое слово в паре «сооружать - изобретать» Вам больше нравится по смыслу?,"['сооружать', 'изобретать']"
67,Which word in the “soft - hard” pair do you like more in meaning?,"['soft', 'hard']",Какое слово в паре «мягкий - твердый» Вам больше нравится по смыслу?,"['мягкий', 'твердый']"
68,You rather:,"['prefer to do everything at the last moment', 'find that leaving something in the end is getting on your nerves']",Вы скорее:,"['предпочитаете все делать в последний момент', 'находите, что оставлять что-либо напоследок, действует Вам на нервы']"
69,"When something new comes into fashion, you usually:","['one of the first to try it', 'little interest in it']","Когда что-либо новое входит в моду, Вы обычно:","['одним из первых испробуете это', 'мало этим интересуетесь']"
70,Which word in the “foundation - spire” pair do you like more in meaning?,"['foundation', 'spire']",Какое слово в паре «фундамент - шпиль» Вам больше нравится по смыслу?,"['фундамент', 'шпиль']"
71,What word in the pair “forgive - endure” do you like more in meaning?,"['forgive', 'endure']",Какое слово в паре «прощать - терпеть» Вам больше нравится по смыслу?,"['прощать', 'терпеть']"
72,Do you think that following the daily routine:,"['helps to work calmly', 'limits your freedom']","Вы считаете, что соблюдение распорядка дня:","['помогает спокойно работать', 'ограничивает Вашу свободу']"
73,"If you find yourself in an awkward position, you usually:","['wrap it up for fun', 'find a decent way out of it only after a considerable time']","Если Вы попадаете в неловкое положение, Вы обычно:","['оборачиваете все в шутку', 'находите достойный выход из него только спустя значительное время']"
74,What word in the pair “intuition - experience” do you like more in meaning?,"['intuition', 'experience']",Какое слово в паре «интуиция - опыт» Вам больше нравится по смыслу?,"['интуиция', 'опыт']"
75,What word in the “who - what” pair do you like more in meaning?,"['who', 'what']",Какое слово в паре «кто - что» Вам больше нравится по смыслу?,"['кто', 'что']"
76,When you think of any little thing that needs to be done or bought:,"['you will most likely forget about it and remember much later', 'you usually record so as not to forget']","Когда Вы думаете о какой-либо мелочи, которую надо сделать или купить:","['Вы скорее всего забудете об этом и вспомните намного позже', 'Вы обычно записываете, чтобы не забыть']"
77,Do you think that your loved ones know about your feelings and thoughts:,"['in most cases', 'only when you let them know']","Вы считаете, что Ваши близкие знают о Ваших чувствах/мыслях:","['в большинстве случаев', 'только тогда, когда Вы сообщите им об этом']"
78,Which word in the “sign - symbol” pair do you like more in meaning?,"['sign', 'symbol']",Какое слово в паре «знак - символ» Вам больше нравится по смыслу?,"['знак', 'символ']"
79,What word in the pair “praise - criticism” do you like more in meaning?,"['praise', 'criticism']",Какое слово в паре «похвала - критика» Вам больше нравится по смыслу?,"['похвала', 'критика']"
80,It’s more difficult for you to adapt:,"['to routine', 'to constant change']",Вам труднее приспособиться:,"['к заведенному порядку', 'к постоянным изменениям']"
81,At parties you like:,"['lead events', ""don't stop others from having fun as they want""]",На вечеринках Вам нравится:,"['руководить событиями', 'не мешать другим развлекаться, как они хотят']"
82,Which word in the pair “accept as it is - change” do you like more in meaning?,"['accept is it is', 'change']","Какое слово в паре «принимать, как есть - изменять» Вам больше нравится по смыслу?","['принимать, как есть', 'изменять']"
83,Which word in the “cautious - gullible” pair do you like more in meaning?,"['cautious', 'gullible']",Какое слово в паре «осторожный - доверчивый» Вам больше нравится по смыслу?,"['осторожный', '\xa0доверчивый']"
84,"When you start the big work that needs to be done as soon as possible, you:","['sacrifice time to paint what needs to be done and in what order', 'just dive into']","Когда Вы приступаете к большой работе, которую нужно сделать в кратчайший срок, Вы:","['жертвуете временем, чтобы расписать, что должно быть сделано и в какой очередности', 'просто погружаетесь в дело']"
85,Do you prefer to work in large groups:,"['rather yes', 'probably not']",Предпочитаете ли Вы работать в больших группах:,"['скорее да', 'скорее нет']"
86,Which word in the “understandable - mysterious” pair do you like more in meaning?,"['understandable', 'mysterious']",Какое слово в паре «понятный - загадочный» Вам больше нравится по смыслу?,"['понятный', 'загадочный']"
87,Which word in the “agree - argue” pair do you like more in meaning?,"['agree', 'argue']",Какое слово в паре «соглашаться - спорить» Вам больше нравится по смыслу?,"['соглашаться', 'спорить']"
88,"When you undertake any work, you hope:","['start early to have a reserve of time', 'that you can always develop crazy speed at the end']","Когда Вы беретесь за какую-либо работу, Вы рассчитываете:","['начать пораньше, чтобы иметь резерв времени', 'что всегда сможете развить в конце бешеную скорость']"
89,How do you feel when you are in an unfamiliar environment:,"['calmly', 'anxiously']","Как Вы чувствуете себя, попав в незнакомую обстановку:","['спокойно', 'тревожно']"
90,You will prefer:,"['be original, live by your own rules', 'follow generally accepted standards, traditions']",Вы предпочтете:,"['быть оригинальным, жить по собственным правилам', 'следовать общепринятым нормам, традициям']"
91,Which word in the pair “meek - persistent” do you like more in meaning?,"['meek', 'persistent']",Какое слово в паре «кроткий - настойчивый» Вам больше нравится по смыслу?,"['кроткий', 'настойчивый']"
92,"If on Saturday morning you were asked what you are going to do on the weekend, you would:","['could accurately list what exactly and for how long', 'probably would list twice as many cases as you had time to do']","Если бы в субботу утром Вас спросили, что Вы собираетесь делать в выходные, Вы:","['смогли бы точно перечислить, что именно, и за какой срок', 'скорее всего перечислили бы в два раза больше дел, чем успеете сделать']"
93,Can you say that you are interested in other people and their affairs?,"['rather yes', 'probably not']","Можно ли сказать, что Вы интересуетесь другими людьми и их делами?","['скорее да', 'скорее нет']"
94,A higher praise for a person will be recognition:,"['his foresight, intuition', 'his common sense']",Более высокой похвалой человеку будет признание:,"['его способности к предвидению, интуиции', 'его здравого смысла']"
95,You think it’s worse to be:,"['insensible', 'unreasonable']","Вы считаете, что хуже быть:","['бесчувственным', 'неблагоразумным']"
96,Do you find that monotonous and familiar activities throughout the day:,"['reassure you', 'bore you']","Находите ли Вы, что однообразные и привычные занятия в течение дня:","['успокаивают Вас', 'утомляют Вас']"
97,"To speak out, expressing the interests of the group, for you:","['easy and nice', 'unpleasant duty']","Высказываться, выражая интересы группы, для Вас:","['легко и приятно', 'неприятная обязанность']"
98,Do you think it’s more important to be able to:,"['see hidden opportunities in any situation', 'adapt to the situation']","Вы считаете, что важнее уметь:","['видеть в любой ситуации скрытые возможности', 'приспособиться к ситуации']"
99,You would prefer to work with a manager who:,"['always kind', 'always fair']","Вы предпочли бы работать с руководителем, который:","['всегда добр', 'всегда справедлив']"
100,Your friend is easier to become someone who:,"['shares your standards and point of view', 'is an interesting person']","Вашим другом легче стать тому, кто:","['разделяет Ващи стандарты и точку зрения', 'является интересным человеком']"
101,You would prefer to be spoken about you:,"['acts quickly without hesitation', 'ponders everything, sometimes too long']","Вы предпочли бы, чтобы о Вас говорили:","['действует быстро, не задумываясь', 'все обдумывает, иногда слишком долго']"
102,"If you had public influence, then:","['would not call for significant changes in existing orders', 'would urge to decisively sweep away everything that does not meet the requirements of the day']","Если бы Вы обладали общественным влиянием, то:","['не призывали бы к значительным изменениям в существующих порядках', 'призывали бы решительно отметать все, что не отвечает требованиям дня']"
103,It would be true if somebody said about you that:,"['you often criticize, do not believe the word', 'you often think like others, believe in their rightness']","Было бы правдой, если бы о Вас сказали, что:","['Вы часто критикуете, не верите на слово', 'Вы часто думаете так, как другие, верите в их правоту']"
104,Which word in the pair “decisiveness - curiosity” do you like more in meaning?,"['decisiveness', 'curiosity']",Какое слово в паре «решительность - любопытство» Вам больше нравится по смыслу?,"['решительность', 'любопытство']"
105,"When you are interrupted, you:","['easy to respond', 'easily annoyed']","Когда Вас прерывают, Вы:","['легко реагируете', 'легко раздражаетесь']"
106,What word in the pair “observe - imagine” do you like more in meaning?,"['observe', 'imagine']",Какое слово в паре «наблюдать - воображать» Вам больше нравится по смыслу?,"['наблюдать', 'воображать']"
107,"At the workplace, you’re more used to showing:","['restraint and efficiency', 'sensitivity and understanding']",На рабочем месте Вам привычнее проявлять:,"['сдержанность и деловитость', 'чуткость и понимание']"
108,You would be pleased to work with a boss who:,"['always accurate, punctual', 'always full of new ideas']","Вам приятнее было бы работать с начальником, который:","['всегда точен,\xa0пунктуален', 'всегда полон новых идей']"
109,Can you say that you:,"['show enthusiasm for action', 'tend to give preference to reflection']","Можно ли о Вас сказать, что Вы:","['проявляете энтузиазм в том, что требует действия', 'склонны отдавать предпочтения размышлениям']"
110,"Is it possible to say about you that you do not always listen to others, anticipating that they will say:","['rather yes', 'probably not']","Можно ли сказать о Вас, что Вы не всегда выслушиваете других, предвидя, что те скажут:","['скорее да', 'скорее нет\xa0']"
111,Cold attitude towards you colleagues:,"[""it doesn't matter to you"", 'offends you']",Холодное отношение к Вам коллег:,"['безразлично Вам', 'обижает Вас']"
112,You do more often:,"['what do you think is right', 'as circumstances dictate']",Вы чаще поступаете:,"['как считаете правильным', 'как диктуют обстоятельства']"
113,Can you be called a person who wants to constantly master and understand the new?,"['rather yes', 'probably not']","Можно ли Вас назвать человеком, который хочет постоянно осваивать и понимать новое?","['скорее да', 'скорее нет']"
114,"In a dispute, you:","['argue your position', 'quickly jump to conclusions by skipping facts']",В споре Вы:,"['аргументируете свою позицию', 'быстро переходите к выводам, пропуская факты']"
115,More important for you:,"['insist', 'keep relationship']",Для Вас важнее:,"['настоять на своем', 'сохранить отношения']"
116,In life and work you:,"['know how to plan and live according to plans', 'rarely plan, act on the situation']",В жизни и работе Вы:,"['умеете планировать и живете в соответствии с планами', 'планируете редко, действуете по ситуации']"
117,You enjoy working:,"['with written assignments', 'with personal speeches']",Вам приятнее работать:,"['с письменными заданиями', 'с личными выступлениями']"
118,What word in the pair “whole - details” do you like more in meaning?,"['whole', 'details']",Какое слово в паре «целое - детали» Вам больше нравится по смыслу?,"['целое', 'детали']"
119,What word in the pair “honesty - tact” do you like more in meaning?,"['honesty', 'tact']",Какое слово в паре «честность - тактичность» Вам больше нравится по смыслу?,"['честность', 'тактичность']"
120,"Expecting the result, you will rather say:","['it should be', 'it could be']","Ожидая результата, Вы скорее скажете:","['так должно быть', 'так может быть']"
121,"If you were asked an unexpected question, you:","['answer without thinking', 'uncomfortable, think before answering']","Если Вам задали неожиданный вопрос, Вы:","['отвечаете, не задумываясь', 'испытываете дискомфорт, думаете, прежде чем ответить']"
122,You are used to taking more care of events:,"['today', 'which do not concern the current moment']",Вы привыкли больше заботиться о событиях:,"['сегодняшнего дня', 'которые не касаются текущего момента']"
123,Do you tend to predict the feelings of others?,"['rather yes', 'probaly not']",Свойственно ли Вам предсказывать чувства других?,"['скорее да\xa0', 'скорее нет\xa0']"
124,What word in the pair “understand - manage” do you like more in meaning?,"['understand', 'manage']",Какое слово в паре «понимать - управлять» Вам больше нравится по смыслу?,"['понимать', 'управлять']"
125,You can say about you that you:,"['prefer concentration-intensive work', 'you can’t always focus for a long time on one task, subject']","О Вас можно сказать, что Вы:","['предпочитаете работу, требующую сосредоточения', 'не всегда можете сосредотачиваться долго на одной задаче, предмете']"
126,You can rather be called a person who:,"['inclined to focus on obvious facts', ""sees options that others don't notice""]","Вас можно скорее назвать человеком, который:","['склонен ориентироваться на очевидные факты', 'видит варианты, которые другие не замечают']"
127,Can you say that you:,"['take emotional problems to heart', 'treat emotional problems as a hindrance in solving problems']","Можно ли сказать, что Вы:","['принимаете близко к сердцу эмоциональные проблемы', 'относитесь к эмоциональным проблемам, как к помехе в решении задач']"
128,At the end of the day you are more likely to:,"['forget about time, carried away by solving problems', 'strive to complete some part and finish the work on time']",В конце рабочего дня Вы чаще:,"['забываете о времени, увлекаясь решением задач', 'стремитесь завершить какую-то часть и закончить работу вовремя']"
129,In work you:,"['set your own standards where possible', 'more interested in how others do work']",В работе Вы:,"['задаете собственные стандарты, где это возможно', 'больше интересуетесь, как работу делают другие']"
130,Do you work more often:,"['at a steady pace', 'in fits, with lulls in front of them']",Вы чаще работаете:,"['в ровном темпе', 'приступами, с затишьями перед ними']"
131,"Working in a group, you:","['spend some time to build relationships', 'get along easily with others right away']","Работая в группе, Вы:","['затрачиваете некоторое время, чтобы наладить отношения', 'сразу легко ладите с другими']"
132,Can you say that you sometimes pick up more than you can digest or use?,"['rather yes', 'probably not']","Можно ли сказать, что Вы иногда нахватываете больше, чем можете переварить или использовать?","['скорее да', 'скорее нет']"
133,You are more pleased to report on the results of work:,"['in reports', 'at meetings']",Вам приятнее сообщать о результатах работы:,"['в отчетах', 'на встречах и совещаниях']"
134,"When performing work tasks, you:","['prefer to rely on your experience and knowledge', 'each time you rely on a new approach that requires new knowledge']",При выполнении рабочих задач Вы:,"['предпочитаете опираться на свой опыт и знания', 'каждый раз опираетесь на новый подход, требующий новых знаний']"
135,Will it be true if you say about you that you:,"['do not endure conflicts, it negatively affects efficiency', 'can work in adverse emotional conditions']","Правдой ли будет, если сказать о Вас, что Вы:","['не выносите конфликтов, это отрицательно сказывается на эффективности', 'можете работать и в неблагоприятных эмоциональных условиях']"
136,You are more likely to:,"['try not to miss anything in life', 'follow the chosen path']",Вам более свойственно:,"['стараться ничего не упустить в жизни', 'следовать выбранным путем']"
137,Would you prefer:,"['work on one task for a long time', 'switch from task to task']",Вы предпочли бы:,"['работу над одной задачей в течение долгого времени', 'переключаться от задачи к задаче']"
138,Which word in the pair “work - inspire” do you like more in meaning?,"['work', 'inspire']",Какое слово в паре «работать  - вдохновлять» Вам больше нравится по смыслу?,"['работать\xa0', 'вдохновлять']"
139,You can say about you that you are a person who:,"['enthusiastic', 'usually smooth and businesslike']","О Вас можно сказать, что Вы человек, который:","['возбуждает энтузиазм', 'обычно ровен и деловит']"
140,Preferably you:,"['live in obedience to the current situation', 'build your life according to plan']",Предпочтительно Вы:,"['живете, подчиняясь наличной ситуации', 'строите свою жизнь по плану']"
141,"When you learn new things, you:","['ask for more concrete examples', 'quickly grasp the meanings of words and characters']","Когда Вы учитесь новому, Вы:","['просите больше подкреплять слова конкретными примерами', 'быстро схватываете значения слов и символов']"
142,You are prone to:,"['memorize', 'reason']",Вы склонны:,"['запоминать', 'рассуждать и искать причины']"
