jobtitle,jobfield,scale_e,scale_i,scale_s,scale_n,scale_t,scale_f,scale_j,scale_p,psychotype,satisfied
HR manager,Staff and training,16,19,20,17,22,12,24,13,ISTJ,1
HR manager,Staff and training,20,14,20,14,23,13,29,4,ESTJ,1
HR manager,Staff and training,28,8,13,19,5,25,21,13,ENFJ,1
HR manager,Staff and training,15,24,18,12,12,21,24,9,ISFJ,0
HR manager,Staff and training,20,16,12,14,7,28,25,7,ENFJ,1
HR manager,Staff and training,25,8,10,20,25,10,19,17,ENTJ,1
HR manager,Staff and training,27,9,18,13,15,15,23,14,ESTJ,1
HR manager,Staff and training,10,26,15,19,14,15,22,15,INFJ,0
HR manager,Staff and training,11,24,19,20,17,18,11,24,INFP,0
HR manager,Staff and training,17,22,11,22,17,19,22,11,INFJ,1
HR manager,Staff and training,25,11,13,16,15,18,17,18,ENFP,0
HR manager,Staff and training,14,22,20,16,18,13,17,15,ISTJ,1
HR manager,Staff and training,23,10,12,21,19,18,21,15,ENTJ,0
HR manager,Staff and training,24,14,25,7,9,26,24,10,ESFJ,0
HR manager,Staff and training,29,5,8,18,6,28,19,18,ENFJ,0
HR manager,Staff and training,28,10,30,2,25,5,31,2,ESTJ,1
HR manager,Staff and training,12,26,35,1,21,13,32,3,ISTJ,1
HR manager,Staff and training,25,13,10,19,21,21,14,22,ENTP,1
HR manager,Staff and training,9,26,20,11,17,16,29,6,ISTJ,0
HR manager,Staff and training,25,11,16,11,22,16,20,16,ESTJ,1
HR manager,Staff and training,14,20,23,11,14,15,28,5,ISFJ,0
HR manager,Staff and training,11,21,13,23,20,17,12,17,INTP,0
HR manager,Staff and training,24,8,28,6,18,13,30,6,ESTJ,1
HR manager,Staff and training,33,3,9,22,22,10,26,7,ENTJ,1
HR manager,Staff and training,11,23,22,10,27,6,26,8,ISTJ,0
HR manager,Staff and training,25,16,19,10,20,17,25,6,ESTJ,1
HR manager,Staff and training,14,21,12,17,11,18,21,13,INFJ,0
HR manager,Staff and training,18,19,11,20,17,13,15,16,INTP,0
HR manager,Staff and training,30,6,22,13,16,19,25,10,ESFJ,1
HR manager,Staff and training,26,10,18,13,22,15,19,16,ESTJ,1
HR manager,Staff and training,15,24,9,22,2,33,0,35,INFP,1
HR manager,Staff and training,26,9,1,29,14,19,22,11,ENFJ,1
HR manager,Staff and training,27,9,19,19,22,12,19,17,ESTJ,0
HR manager,Staff and training,15,21,14,18,17,19,23,13,INFJ,1
HR manager,Staff and training,9,30,13,20,16,22,23,13,INFJ,1
HR manager,Staff and training,18,20,13,12,12,24,18,18,ISFJ,0
HR manager,Staff and training,15,21,10,24,14,23,13,23,INFP,0
HR manager,Staff and training,13,22,25,14,18,11,26,6,ISTJ,1
HR manager,Staff and training,21,16,20,17,6,26,20,14,ESFJ,1
HR manager,Staff and training,17,23,21,8,6,27,24,9,ISFJ,1
HR manager,Staff and training,22,13,18,11,25,13,27,6,ESTJ,1
HR manager,Staff and training,27,6,10,18,20,16,8,28,ENTP,1
HR manager,Staff and training,9,26,22,8,24,7,30,6,ISTJ,1
HR manager,Staff and training,23,13,18,14,30,6,7,27,ESTP,1
HR manager,Staff and training,19,18,19,18,18,21,23,11,ESFJ,1
HR manager,Staff and training,30,8,19,14,14,14,32,2,ESTJ,1
HR manager,Staff and training,11,29,18,22,15,22,17,19,INFP,1
HR manager,Staff and training,30,9,10,22,17,20,15,22,ENFP,1
HR manager,Staff and training,25,14,22,10,20,16,31,5,ESTJ,1
HR manager,Staff and training,24,15,13,17,20,10,25,7,ENTJ,1
HR manager,Staff and training,25,10,23,11,24,13,28,6,ESTJ,1
HR manager,Staff and training,19,16,25,9,20,11,20,14,ESTJ,0
HR manager,Staff and training,12,20,6,23,28,12,10,25,INTP,0
HR manager,Staff and training,23,14,12,22,26,8,18,14,ENTJ,1
HR manager,Staff and training,16,22,11,25,14,13,21,14,INTJ,1
HR manager,Staff and training,16,18,18,19,21,18,20,13,INTJ,0
HR manager,Staff and training,24,13,19,16,14,18,21,13,ESFJ,1
HR manager,Staff and training,14,23,14,23,11,21,13,22,INFP,1
HR manager,Staff and training,22,17,23,11,12,19,23,9,ESFJ,1
HR manager,Staff and training,11,26,12,18,20,17,21,13,INTJ,1
HR manager,Staff and training,18,18,22,14,25,10,15,22,ESTP,1
HR manager,Staff and training,15,22,10,24,10,22,11,20,INFP,1
HR manager,Staff and training,28,7,11,23,13,21,19,20,ENFP,1
HR manager,Staff and training,26,10,14,19,22,13,22,18,ENTJ,1
HR manager,Staff and training,15,20,24,8,17,20,21,12,ISFJ,0
HR manager,Staff and training,27,12,19,11,14,23,26,8,ESFJ,1
HR manager,Staff and training,12,24,24,10,22,17,24,14,ISTJ,0
HR manager,Staff and training,12,23,12,22,18,15,20,19,INTJ,0
HR manager,Staff and training,25,11,12,12,24,12,23,8,ESTJ,1
HR manager,Staff and training,26,7,10,19,15,15,5,29,ENTP,1
HR manager,Staff and training,19,16,14,20,17,17,27,8,ENTJ,1
HR manager,Staff and training,8,26,15,20,29,12,23,16,INTJ,1
HR manager,Staff and training,23,17,21,9,10,22,28,6,ESFJ,0
HR manager,Staff and training,14,19,13,19,5,28,9,28,INFP,0
HR manager,Staff and training,20,16,4,26,18,14,7,27,ENTP,1
HR manager,Staff and training,22,14,18,16,22,9,16,20,ESTP,1
HR manager,Staff and training,19,19,29,4,22,10,31,5,ESTJ,1
HR manager,Staff and training,14,20,15,22,20,18,9,25,INTP,1
HR manager,Staff and training,28,7,18,10,15,20,20,12,ESFJ,1
HR manager,Staff and training,19,17,18,14,16,17,18,18,ESFJ,1
HR manager,Staff and training,21,12,16,19,21,12,13,24,ENTP,1
HR manager,Staff and training,17,18,25,17,20,11,21,10,ISTJ,1
HR manager,Staff and training,14,27,10,28,25,15,18,21,INTP,0
HR manager,Staff and training,13,22,19,11,29,7,12,27,ISTP,1
HR manager,Staff and training,15,21,16,16,30,5,14,18,ISTP,0
HR manager,Staff and training,18,15,16,18,11,21,26,12,ENFJ,0
HR manager,Staff and training,16,19,25,9,26,8,29,7,ISTJ,1
HR manager,Staff and training,16,20,15,19,11,25,9,27,INFP,0
HR manager,Staff and training,28,8,15,16,14,18,15,18,ENFP,1
HR manager,Staff and training,17,19,13,17,21,13,22,14,INTJ,0
HR manager,Staff and training,9,26,28,8,25,9,19,15,ISTJ,0
HR manager,Staff and training,28,8,20,13,16,18,23,11,ESFJ,1
HR manager,Staff and training,14,22,12,21,14,24,9,26,INFP,1
HR manager,Staff and training,23,15,17,16,27,12,28,11,ESTJ,1
HR manager,Staff and training,14,24,9,25,9,25,12,22,INFP,1
HR manager,Staff and training,23,11,14,23,24,15,16,15,ENTJ,0
HR manager,Staff and training,20,14,19,20,21,11,28,6,ENTJ,0
HR manager,Staff and training,18,16,23,13,13,19,20,12,ESFJ,1
HR manager,Staff and training,18,14,23,8,18,19,24,11,ESFJ,1
HR manager,Staff and training,25,11,12,18,19,18,22,11,ENTJ,1
HR manager,Staff and training,27,7,21,11,9,22,19,18,ESFJ,0
HR manager,Staff and training,14,19,17,17,20,13,24,11,ISTJ,0
HR manager,Staff and training,15,21,17,17,12,20,10,25,ISFP,1
HR manager,Staff and training,20,19,16,16,15,17,25,11,ESFJ,1
HR manager,Staff and training,18,18,27,9,20,12,24,14,ESTJ,1
HR manager,Staff and training,15,20,24,14,21,14,27,13,ISTJ,1
HR manager,Staff and training,14,23,20,11,11,22,28,9,ISFJ,1
HR manager,Staff and training,19,20,12,21,20,13,16,19,INTP,1
HR manager,Staff and training,10,26,11,21,22,14,14,21,INTP,0
HR manager,Staff and training,20,20,11,17,17,16,22,17,ENTJ,1
HR manager,Staff and training,14,26,18,13,28,6,24,7,ISTJ,0
HR manager,Staff and training,19,12,19,17,23,14,24,11,ESTJ,1
HR manager,Staff and training,21,12,21,12,31,5,26,9,ESTJ,0
HR manager,Staff and training,10,27,30,9,18,11,31,5,ISTJ,1
HR manager,Staff and training,17,22,22,14,19,16,15,18,ISTP,0
HR manager,Staff and training,13,25,18,16,4,25,11,25,ISFP,1
HR manager,Staff and training,17,21,10,20,17,19,13,20,INFP,1
HR manager,Staff and training,27,10,15,20,21,17,1,35,ENTP,1
HR manager,Staff and training,17,15,16,10,26,5,21,12,ESTJ,1
HR manager,Staff and training,13,24,17,15,11,23,13,24,ISFP,1
HR manager,Staff and training,20,17,17,15,6,23,22,19,ESFJ,0
HR manager,Staff and training,24,11,13,16,21,13,12,18,ENTP,1
HR manager,Staff and training,22,10,17,13,28,9,23,12,ESTJ,1
HR manager,Staff and training,19,19,12,23,18,16,10,29,ENTP,1
HR manager,Staff and training,23,18,12,18,18,19,22,12,ENFJ,1
HR manager,Staff and training,13,26,35,1,21,14,29,5,ISTJ,1
HR manager,Staff and training,28,8,28,5,29,7,9,24,ESTP,1
HR manager,Staff and training,18,17,17,15,19,16,25,7,ESTJ,0
HR manager,Staff and training,28,9,18,12,12,14,27,7,ESFJ,1
HR manager,Staff and training,15,17,14,21,18,13,12,26,INTP,0
HR manager,Staff and training,23,11,16,17,20,8,10,25,ENTP,1
HR manager,Staff and training,23,14,11,16,12,21,29,5,ENFJ,0
HR manager,Staff and training,21,14,13,25,10,23,10,25,ENFP,0
HR manager,Staff and training,18,17,13,20,17,13,17,16,ENTJ,1
HR manager,Staff and training,15,23,30,5,17,21,28,9,ISFJ,0
HR manager,Staff and training,10,26,14,16,17,17,21,10,INTJ,0
HR manager,Staff and training,20,19,18,12,17,18,21,15,ESFJ,1
HR manager,Staff and training,19,18,18,13,15,18,19,19,ESFJ,0
HR manager,Staff and training,25,14,12,16,20,14,15,20,ENTP,0
HR manager,Staff and training,21,15,25,14,18,14,25,13,ESTJ,1
HR manager,Staff and training,26,10,21,9,24,13,23,11,ESTJ,1
HR manager,Staff and training,17,18,22,7,15,20,32,6,ISFJ,1
HR manager,Staff and training,19,18,18,10,22,15,21,18,ESTJ,1
HR manager,Staff and training,16,23,11,21,16,17,15,17,INFP,0
HR manager,Staff and training,23,9,14,15,19,10,16,19,ENTP,1
HR manager,Staff and training,14,19,11,17,19,13,15,16,INTP,0
HR manager,Staff and training,22,13,20,14,27,11,16,20,ESTP,0
HR manager,Staff and training,24,12,12,22,21,12,17,17,ENTJ,1
HR manager,Staff and training,17,20,16,14,10,18,26,6,ISFJ,0
HR manager,Staff and training,21,11,16,14,15,18,20,15,ESFJ,1
HR manager,Staff and training,18,17,8,21,8,26,10,24,ENFP,1
HR manager,Staff and training,18,18,18,20,18,15,21,12,ENTJ,1
HR manager,Staff and training,13,24,13,21,20,11,6,31,INTP,0
HR manager,Staff and training,10,26,20,10,21,18,15,17,ISTP,0
HR manager,Staff and training,30,10,12,21,19,17,16,19,ENTP,1
HR manager,Staff and training,8,27,25,9,13,18,25,9,ISFJ,1
HR manager,Staff and training,16,19,22,16,19,13,30,9,ISTJ,1
HR manager,Staff and training,26,9,8,24,14,19,1,35,ENFP,0
HR manager,Staff and training,22,13,11,16,16,17,23,13,ENFJ,1
HR manager,Staff and training,21,17,30,3,31,7,35,3,ESTJ,1
HR manager,Staff and training,19,19,8,20,5,28,14,19,ENFP,0
HR manager,Staff and training,22,14,7,23,12,19,12,27,ENFP,0
HR manager,Staff and training,20,19,16,11,3,30,18,15,ESFJ,1
HR manager,Staff and training,17,16,18,20,22,13,27,7,ENTJ,1
HR manager,Staff and training,14,19,19,14,13,21,27,11,ISFJ,1
HR manager,Staff and training,31,5,24,9,24,11,30,7,ESTJ,1
HR manager,Staff and training,19,17,25,9,11,19,26,11,ESFJ,1
HR manager,Staff and training,13,22,13,18,11,19,24,9,INFJ,0
HR manager,Staff and training,13,26,24,8,25,7,25,10,ISTJ,0
HR manager,Staff and training,25,16,25,11,31,4,33,4,ESTJ,0
HR manager,Staff and training,25,10,16,18,27,4,16,19,ENTP,1
HR manager,Staff and training,12,22,19,11,10,25,20,12,ISFJ,0
HR manager,Staff and training,23,11,17,15,23,11,18,13,ESTJ,1
HR manager,Staff and training,21,7,16,18,18,16,16,18,ENTP,1
HR manager,Staff and training,19,17,20,13,15,15,22,13,ESTJ,0
HR manager,Staff and training,20,19,18,7,21,8,27,10,ESTJ,1
HR manager,Staff and training,26,15,28,7,27,12,26,8,ESTJ,0
HR manager,Staff and training,7,31,18,19,22,9,16,18,INTP,1
HR manager,Staff and training,18,15,13,16,17,12,16,22,ENTP,1
HR manager,Staff and training,25,12,27,10,20,18,26,8,ESTJ,1
HR manager,Staff and training,33,6,21,12,17,19,28,8,ESFJ,1
HR manager,Staff and training,23,11,20,15,29,11,24,9,ESTJ,1
HR manager,Staff and training,4,27,25,7,19,12,25,10,ISTJ,0
HR manager,Staff and training,24,14,15,19,14,19,23,10,ENFJ,1
HR manager,Staff and training,11,26,27,7,17,15,32,3,ISTJ,1
HR manager,Staff and training,23,15,19,14,16,14,15,20,ESTP,1
HR manager,Staff and training,26,13,9,18,15,20,27,11,ENFJ,1
HR manager,Staff and training,21,12,16,19,23,11,10,26,ENTP,0
HR manager,Staff and training,23,14,21,10,8,25,34,2,ESFJ,1
HR manager,Staff and training,20,12,23,13,19,14,23,17,ESTJ,0
HR manager,Staff and training,24,9,13,24,9,27,3,32,ENFP,1
HR manager,Staff and training,13,24,32,2,21,11,30,3,ISTJ,1
HR manager,Staff and training,32,6,14,13,17,18,20,15,ESFJ,1
HR manager,Staff and training,21,17,23,9,17,19,24,11,ESFJ,1
HR manager,Staff and training,18,17,23,14,20,15,26,7,ESTJ,1
HR manager,Staff and training,22,15,14,15,8,24,30,3,ENFJ,1
HR manager,Staff and training,22,15,27,9,27,12,31,5,ESTJ,1
HR manager,Staff and training,19,19,17,16,6,23,20,20,ESFJ,0
IT director,Department head,24,12,26,7,25,11,30,3,ESTJ,1
IT director,Department head,14,18,12,17,14,17,14,22,INFP,0
IT director,Department head,25,10,20,17,25,7,27,8,ESTJ,1
IT director,Department head,20,20,24,7,26,9,24,13,ESTJ,1
IT director,Top management,19,15,13,19,23,12,15,16,ENTP,0
IT director,Department head,4,27,16,19,19,15,16,24,INTP,0
IT director,Department head,17,23,18,15,20,11,21,16,ISTJ,0
IT director,Top management,25,12,24,7,18,15,21,15,ESTJ,1
IT director,Department head,17,20,27,7,29,9,33,0,ISTJ,1
IT director,Department head,25,10,12,22,23,8,27,8,ENTJ,1
IT director,Department head,19,16,10,24,24,5,9,26,ENTP,0
IT director,Top management,27,8,13,23,27,7,11,27,ENTP,0
IT director,Department head,16,22,13,19,19,17,17,22,INTP,0
IT director,Department head,20,20,23,8,33,5,31,2,ESTJ,1
IT director,Department head,14,19,22,18,17,18,17,18,ISFP,0
IT director,Department head,31,6,20,9,20,13,31,4,ESTJ,1
IT director,Department head,14,19,10,29,16,18,14,24,INFP,0
IT director,Department head,24,12,10,22,15,19,19,16,ENFJ,1
IT director,Department head,9,27,9,28,29,5,20,13,INTJ,1
IT director,Department head,26,9,14,16,22,18,24,12,ENTJ,0
IT director,Department head,19,16,17,15,33,3,8,28,ESTP,1
IT director,Department head,17,18,22,13,23,17,19,18,ISTJ,0
IT director,Department head,21,15,22,14,25,8,25,8,ESTJ,0
IT director,Department head,18,16,12,22,22,9,24,10,ENTJ,1
IT director,Department head,16,17,15,15,31,2,13,22,ISTP,1
IT director,Top management,20,15,15,18,29,12,5,32,ENTP,1
IT director,Department head,29,8,7,21,9,24,6,28,ENFP,0
IT director,Department head,21,16,7,27,24,8,19,17,ENTJ,0
IT director,Department head,20,18,16,14,27,7,18,14,ESTJ,0
IT director,Department head,15,22,24,8,22,10,21,12,ISTJ,1
IT director,Department head,24,11,25,7,24,11,28,11,ESTJ,1
IT director,Department head,18,22,19,8,25,4,30,0,ISTJ,1
IT director,Department head,27,8,11,20,17,19,2,34,ENFP,1
IT manager,IT,12,22,11,18,21,10,24,11,INTJ,1
IT manager,IT,18,17,15,21,29,9,32,4,ENTJ,1
IT manager,IT,9,30,24,11,30,4,29,5,ISTJ,1
IT manager,IT,30,6,15,14,26,11,23,12,ESTJ,1
IT manager,IT,25,11,25,7,21,13,30,5,ESTJ,1
IT manager,IT,25,15,20,9,34,4,30,3,ESTJ,0
IT manager,IT,21,14,20,15,18,20,28,8,ESFJ,1
IT manager,IT,15,22,23,11,20,12,18,15,ISTJ,1
IT manager,IT,24,11,12,23,18,16,12,27,ENTP,0
IT manager,IT,15,24,17,14,25,6,20,11,ISTJ,1
IT manager,IT,2,33,6,23,22,13,13,25,INTP,0
IT manager,IT,10,27,17,18,18,21,25,13,INFJ,0
IT manager,IT,23,15,13,17,15,23,12,21,ENFP,0
IT manager,IT,19,17,17,14,17,17,20,19,ESTJ,1
IT manager,IT,13,26,19,14,14,18,18,16,ISFJ,1
IT manager,IT,12,21,19,21,22,10,17,21,INTP,0
IT manager,IT,14,23,18,11,20,16,26,7,ISTJ,1
IT manager,IT,19,13,12,17,4,25,21,15,ENFJ,0
IT manager,IT,16,19,18,13,10,19,18,17,ISFJ,1
IT manager,IT,21,15,14,19,24,14,17,17,ENTJ,1
IT manager,IT,11,24,32,4,28,6,14,24,ISTP,1
IT manager,IT,15,21,27,6,30,6,16,21,ISTP,1
IT manager,IT,25,12,16,13,10,25,21,14,ESFJ,0
IT manager,IT,11,22,24,13,23,7,15,23,ISTP,0
IT manager,IT,21,19,20,13,13,22,13,21,ESFP,0
IT manager,IT,27,10,10,21,23,10,20,15,ENTJ,1
IT manager,IT,24,17,21,11,15,19,28,6,ESFJ,1
IT manager,IT,6,30,24,10,22,12,20,17,ISTJ,1
IT manager,IT,22,16,23,11,19,11,30,6,ESTJ,1
IT manager,IT,19,15,15,22,32,6,22,12,ENTJ,0
IT manager,IT,22,16,15,18,24,15,16,15,ENTJ,0
IT manager,IT,27,14,23,8,30,6,26,7,ESTJ,1
IT manager,IT,26,6,26,13,12,20,19,18,ESFJ,1
IT manager,IT,32,6,9,22,18,19,6,30,ENFP,1
IT manager,IT,27,7,19,15,27,10,29,9,ESTJ,0
IT manager,IT,25,12,15,17,19,18,24,14,ENTJ,0
IT manager,IT,25,14,30,3,32,4,35,2,ESTJ,1
IT manager,IT,15,18,22,16,25,10,22,16,ISTJ,0
IT manager,IT,26,13,21,14,24,12,28,5,ESTJ,1
IT manager,IT,25,15,21,8,26,10,19,16,ESTJ,1
IT manager,IT,24,14,31,4,24,8,26,11,ESTJ,1
IT manager,IT,21,13,22,8,15,20,21,14,ESFJ,1
IT manager,IT,18,17,19,11,17,23,25,13,ESFJ,1
IT manager,IT,8,24,30,8,17,15,17,22,ISTP,0
IT manager,IT,27,6,19,13,32,3,26,6,ESTJ,1
IT manager,IT,27,8,14,18,23,11,22,12,ENTJ,1
IT manager,IT,21,16,11,19,10,17,19,17,ENFJ,0
IT manager,IT,20,17,27,8,30,5,29,7,ESTJ,1
IT manager,IT,7,28,18,21,19,17,19,18,INTJ,1
IT manager,IT,25,13,20,12,22,10,29,7,ESTJ,0
IT manager,IT,20,18,27,10,25,17,29,6,ESTJ,1
IT manager,IT,13,22,19,11,30,4,28,5,ISTJ,1
IT manager,IT,22,19,22,8,31,4,28,10,ESTJ,1
IT manager,IT,24,13,10,23,25,9,26,10,ENTJ,1
IT manager,IT,10,29,17,18,25,11,27,10,INTJ,1
IT manager,IT,16,24,26,6,27,6,18,17,ISTJ,0
IT manager,IT,9,22,19,14,26,10,21,14,ISTJ,0
IT manager,IT,10,24,28,4,3,29,8,25,ISFP,0
IT manager,IT,25,8,16,20,26,10,23,8,ENTJ,1
IT manager,IT,14,20,17,17,30,5,24,14,ISTJ,1
IT manager,IT,23,13,9,25,15,13,9,26,ENTP,0
IT manager,IT,9,27,6,23,21,15,18,17,INTJ,1
IT manager,IT,23,16,16,14,30,7,31,3,ESTJ,1
IT manager,IT,16,16,16,12,26,7,14,19,ESTP,0
IT manager,IT,9,24,24,11,22,14,21,17,ISTJ,0
IT manager,IT,12,25,19,13,24,11,12,26,ISTP,1
IT manager,IT,17,21,25,8,28,9,32,6,ISTJ,1
IT manager,IT,14,20,17,19,27,13,17,22,INTP,1
IT manager,IT,17,23,21,5,20,15,26,7,ISTJ,1
IT manager,IT,18,14,25,10,30,10,21,11,ESTJ,1
IT manager,IT,19,17,28,8,17,19,17,22,ESFP,1
IT manager,IT,14,20,21,12,30,4,28,6,ISTJ,1
IT manager,IT,21,14,17,20,26,6,27,7,ENTJ,1
IT manager,IT,10,28,27,13,10,25,30,11,ISFJ,0
IT manager,IT,27,5,15,19,22,12,8,25,ENTP,0
IT manager,IT,26,11,26,11,29,8,30,6,ESTJ,1
IT manager,IT,19,19,25,11,19,15,11,28,ESTP,1
IT manager,IT,11,26,14,19,34,0,28,7,INTJ,1
IT manager,IT,23,13,20,15,27,5,20,15,ESTJ,0
IT manager,IT,28,10,19,12,30,4,8,27,ESTP,0
IT manager,IT,29,14,14,15,16,23,22,13,ENFJ,1
IT manager,IT,16,18,20,11,28,5,16,17,ISTP,0
IT manager,IT,26,9,13,18,27,7,7,23,ENTP,0
IT manager,IT,20,21,16,11,31,4,32,1,ISTJ,0
IT manager,IT,18,17,32,3,31,7,28,4,ESTJ,0
IT manager,IT,22,19,19,10,16,16,14,17,ESTP,1
IT manager,IT,10,27,20,11,18,9,14,22,ISTP,0
IT manager,IT,21,15,9,18,18,14,31,5,ENTJ,1
IT manager,IT,19,17,18,18,30,3,22,11,ESTJ,1
IT manager,IT,16,20,14,18,25,10,15,23,INTP,0
IT manager,IT,14,20,12,19,16,19,13,19,INFP,1
IT manager,IT,18,21,27,12,18,24,30,8,ISFJ,1
IT manager,IT,13,27,18,13,25,7,26,7,ISTJ,1
IT manager,IT,17,18,19,12,20,13,21,11,ISTJ,0
IT manager,IT,23,12,14,13,20,13,9,26,ESTP,1
IT manager,IT,26,7,16,17,24,14,15,20,ENTP,0
IT manager,IT,13,23,9,24,20,15,10,27,INTP,1
IT manager,IT,22,12,16,18,22,12,22,16,ENTJ,1
IT manager,IT,6,29,22,9,16,16,26,13,ISTJ,0
IT manager,IT,16,18,17,17,28,10,11,25,ISTP,1
IT manager,IT,15,17,12,20,26,16,3,33,INTP,1
IT manager,IT,13,26,25,11,21,9,14,22,ISTP,1
IT manager,IT,19,20,17,19,29,8,16,21,INTP,1
IT manager,IT,26,11,19,11,24,16,28,7,ESTJ,1
IT manager,IT,5,30,26,11,22,15,23,16,ISTJ,1
IT manager,IT,26,10,14,12,28,6,28,6,ESTJ,1
IT manager,IT,26,11,19,10,27,5,31,5,ESTJ,1
IT manager,IT,17,18,17,18,15,19,18,16,INFJ,1
IT manager,IT,12,24,31,3,26,10,31,5,ISTJ,0
IT manager,IT,22,16,9,25,29,6,14,22,ENTP,1
IT manager,IT,16,21,20,16,31,8,24,11,ISTJ,1
IT manager,IT,23,12,14,22,25,11,12,21,ENTP,0
IT manager,IT,28,10,19,9,17,14,25,11,ESTJ,1
IT manager,IT,22,17,23,9,31,6,32,4,ESTJ,1
IT manager,IT,9,26,23,9,19,11,30,5,ISTJ,1
IT manager,IT,26,14,15,19,15,22,15,16,ENFP,1
IT manager,IT,18,15,28,11,17,12,17,16,ESTJ,1
IT manager,IT,11,25,31,5,26,14,29,8,ISTJ,1
IT manager,IT,17,20,22,11,26,7,25,9,ISTJ,1
IT manager,IT,20,16,27,13,21,9,31,5,ESTJ,1
IT manager,IT,31,5,22,11,26,12,24,12,ESTJ,1
IT manager,IT,21,22,23,9,30,5,25,9,ISTJ,0
IT manager,IT,30,11,24,11,12,20,29,7,ESFJ,1
IT manager,IT,19,15,9,24,12,21,13,25,ENFP,0
IT manager,IT,16,22,24,9,27,8,26,10,ISTJ,0
