position,question,answers
87,Какое слово в паре «соглашаться - спорить» Вам больше нравится по смыслу?,"['соглашаться', 'спорить']"
88,"Когда Вы беретесь за какую-либо работу, Вы рассчитываете:","['начать пораньше, чтобы иметь резерв времени', 'что всегда сможете развить в конце бешеную скорость']"
89,"Как Вы чувствуете себя, попав в незнакомую обстановку:","['спокойно', 'тревожно']"
90,Вы предпочтете:,"['быть оригинальным, жить по собственным правилам', 'следовать общепринятым нормам, традициям']"
91,Какое слово в паре «кроткий - настойчивый» Вам больше нравится по смыслу?,"['кроткий', 'настойчивый']"
92,"Если бы в субботу утром Вас спросили, что Вы собираетесь делать в выходные, Вы:","['смогли бы точно перечислить, что именно, и за какой срок', 'скорее всего перечислили бы в два раза больше дел, чем успеете сделать']"
93,"Можно ли сказать, что Вы интересуетесь другими людьми и их делами?","['скорее да', 'скорее нет']"
94,Более высокой похвалой человеку будет признание:,"['его способности к предвидению, интуиции', 'его здравого смысла']"
95,"Вы считаете, что хуже быть:","['бесчувственным', 'неблагоразумным']"
96,"Находите ли Вы, что однообразные и привычные занятия в течение дня:","['успокаивают Вас', 'утомляют Вас']"
97,"Высказываться, выражая интересы группы, для Вас:","['легко и приятно', 'неприятная обязанность']"
98,"Вы считаете, что важнее уметь:","['видеть в любой ситуации скрытые возможности', 'приспособиться к ситуации']"
99,"Вы предпочли бы работать с руководителем, который:","['всегда добр', 'всегда справедлив']"
100,"Вашим другом легче стать тому, кто:","['разделяет Ващи стандарты и точку зрения', 'является интересным человеком']"
101,"Вы предпочли бы, чтобы о Вас говорили:","['действует быстро, не задумываясь', 'все обдумывает, иногда слишком долго']"
102,"Если бы Вы обладали общественным влиянием, то:","['не призывали бы к значительным изменениям в существующих порядках', 'призывали бы решительно отметать все, что не отвечает требованиям дня']"
103,"Было бы правдой, если бы о Вас сказали, что:","['Вы часто критикуете, не верите на слово', 'Вы часто думаете так, как другие, верите в их правоту']"
104,Какое слово в паре «решительность - любопытство» Вам больше нравится по смыслу?,"['решительность', 'любопытство']"
105,"Когда Вас прерывают, Вы:","['легко реагируете', 'легко раздражаетесь']"
106,Какое слово в паре «наблюдать - воображать» Вам больше нравится по смыслу?,"['наблюдать', 'воображать']"
107,На рабочем месте Вам привычнее проявлять:,"['сдержанность и деловитость', 'чуткость и понимание']"
108,"Вам приятнее было бы работать с начальником, который:","['всегда точен,\xa0пунктуален', 'всегда полон новых идей']"
109,"Можно ли о Вас сказать, что Вы:","['проявляете энтузиазм в том, что требует действия', 'склонны отдавать предпочтения размышлениям']"
110,"Можно ли сказать о Вас, что Вы не всегда выслушиваете других, предвидя, что те скажут:","['скорее да', 'скорее нет\xa0']"
111,Холодное отношение к Вам коллег:,"['безразлично Вам', 'обижает Вас']"
112,Вы чаще поступаете:,"['как считаете правильным', 'как диктуют обстоятельства']"
113,"Можно ли Вас назвать человеком, который хочет постоянно осваивать и понимать новое?","['скорее да', 'скорее нет']"
114,В споре Вы:,"['аргументируете свою позицию', 'быстро переходите к выводам, пропуская факты']"
115,Для Вас важнее:,"['настоять на своем', 'сохранить отношения']"
116,В жизни и работе Вы:,"['умеете планировать и живете в соответствии с планами', 'планируете редко, действуете по ситуации']"
117,Вам приятнее работать:,"['с письменными заданиями', 'с личными выступлениями']"
118,Какое слово в паре «целое - детали» Вам больше нравится по смыслу?,"['целое', 'детали']"
119,Какое слово в паре «честность - тактичность» Вам больше нравится по смыслу?,"['честность', 'тактичность']"
120,"Ожидая результата, Вы скорее скажете:","['так должно быть', 'так может быть']"
121,"Если Вам задали неожиданный вопрос, Вы:","['отвечаете, не задумываясь', 'испытываете дискомфорт, думаете, прежде чем ответить']"
122,Вы привыкли больше заботиться о событиях:,"['сегодняшнего дня', 'которые не касаются текущего момента']"
123,Свойственно ли Вам предсказывать чувства других?,"['скорее да\xa0', 'скорее нет\xa0']"
124,Какое слово в паре «понимать - управлять» Вам больше нравится по смыслу?,"['понимать', 'управлять']"
125,"О Вас можно сказать, что Вы:","['предпочитаете работу, требующую сосредоточения', 'не всегда можете сосредотачиваться долго на одной задаче, предмете']"
126,"Вас можно скорее назвать человеком, который:","['склонен ориентироваться на очевидные факты', 'видит варианты, которые другие не замечают']"
127,"Можно ли сказать, что Вы:","['принимаете близко к сердцу эмоциональные проблемы', 'относитесь к эмоциональным проблемам, как к помехе в решении задач']"
128,В конце рабочего дня Вы чаще:,"['забываете о времени, увлекаясь решением задач', 'стремитесь завершить какую-то часть и закончить работу вовремя']"
129,В работе Вы:,"['задаете собственные стандарты, где это возможно', 'больше интересуетесь, как работу делают другие']"
130,Вы чаще работаете:,"['в ровном темпе', 'приступами, с затишьями перед ними']"
131,"Работая в группе, Вы:","['затрачиваете некоторое время, чтобы наладить отношения', 'сразу легко ладите с другими']"
132,"Можно ли сказать, что Вы иногда нахватываете больше, чем можете переварить или использовать?","['скорее да', 'скорее нет']"
133,Вам приятнее сообщать о результатах работы:,"['в отчетах', 'на встречах и совещаниях']"
134,При выполнении рабочих задач Вы:,"['предпочитаете опираться на свой опыт и знания', 'каждый раз опираетесь на новый подход, требующий новых знаний']"
135,"Правдой ли будет, если сказать о Вас, что Вы:","['не выносите конфликтов, это отрицательно сказывается на эффективности', 'можете работать и в неблагоприятных эмоциональных условиях']"
136,Вам более свойственно:,"['стараться ничего не упустить в жизни', 'следовать выбранным путем']"
137,Вы предпочли бы:,"['работу над одной задачей в течение долгого времени', 'переключаться от задачи к задаче']"
138,Какое слово в паре «работать  - вдохновлять» Вам больше нравится по смыслу?,"['работать\xa0', 'вдохновлять']"
139,"О Вас можно сказать, что Вы человек, который:","['возбуждает энтузиазм', 'обычно ровен и деловит']"
140,Предпочтительно Вы:,"['живете, подчиняясь наличной ситуации', 'строите свою жизнь по плану']"
141,"Когда Вы учитесь новому, Вы:","['просите больше подкреплять слова конкретными примерами', 'быстро схватываете значения слов и символов']"
142,Вы склонны:,"['запоминать', 'рассуждать и искать причины']"
